id,type,prix,date_debut,date_fin,statut
6232,Premium Mensuel,65.14,2024-01-28,2024-02-27,SUSPENDU
2877,Basique Mensuel,38.3,2023-05-21,2023-06-20,SUSPENDU
5324,Etudiant Mensuel,28.37,2026-08-02,2026-08-31,ACTIVE
800,Premium Hebdomadaire,21.04,2023-08-23,2023-08-31,EXPIRE
3571,Family Mensuel,82.65,2024-07-01,2024-07-31,SUSPENDU
2895,Pro Annuel,700.9,2026-04-02,2027-03-27,ACTIVE
2928,Premium Mensuel,73.18,2023-07-05,2023-08-02,EXPIRE
8179,Pro Annuel,729.35,2023-06-19,2024-06-21,ACTIVE
972,Etudiant Mensuel,25.08,2025-01-12,2025-02-10,ACTIVE
6688,Basique Hebdomadaire,11.32,2026-12-20,2026-12-27,EXPIRE
8576,Basique Mensuel,38.32,2025-09-05,2025-10-05,SUSPENDU
2021,Basique Mensuel,40.1,2026-02-18,2026-03-21,ACTIVE
9055,Basique Hebdomadaire,10.07,2024-09-13,2024-09-22,ACTIVE
953,Premium Mensuel,67.74,2024-02-08,2024-03-11,ACTIVE
5360,Premium Hebdomadaire,20.5,2024-08-14,2024-08-22,SUSPENDU
3858,Pro Annuel,701.05,2025-08-06,2026-08-06,ACTIVE
5862,Premium Hebdomadaire,23.0,2026-07-24,2026-07-30,ACTIVE
3146,Pro Annuel,668.84,2024-09-16,2025-09-24,SUSPENDU
3306,Basique Hebdomadaire,15.9,2023-12-19,2023-12-28,EXPIRE
3007,Pro Annuel,668.87,2025-09-25,2026-10-02,ACTIVE
9002,Basique Mensuel,44.42,2024-04-26,2024-05-30,EXPIRE
7771,Pro Annuel,659.6,2024-09-26,2025-10-01,SUSPENDU
7439,Family Mensuel,77.27,2025-03-17,2025-04-14,SUSPENDU
7943,Etudiant Mensuel,27.89,2025-08-26,2025-09-30,SUSPENDU
9239,Pro Annuel,656.48,2024-01-15,2025-01-07,ACTIVE
1057,Basique Hebdomadaire,12.16,2026-09-26,2026-10-02,ACTIVE
3155,Basique Mensuel,35.72,2025-09-22,2025-10-20,ACTIVE
3788,Basique Hebdomadaire,12.4,2023-10-17,2023-10-26,EXPIRE
9190,Premium Mensuel,71.19,2024-01-21,2024-02-23,ACTIVE
7826,Etudiant Mensuel,31.21,2025-07-25,2025-08-21,ACTIVE
7540,Pro Annuel,699.43,2024-05-15,2025-05-20,ACTIVE
7232,Etudiant Mensuel,32.15,2023-06-01,2023-06-29,EXPIRE
765,Premium Hebdomadaire,23.06,2024-02-13,2024-02-21,ACTIVE
5020,Basique Hebdomadaire,13.71,2024-12-27,2025-01-02,ACTIVE
4904,Family Mensuel,79.32,2026-03-11,2026-04-06,ACTIVE
8094,Pro Annuel,709.11,2026-03-24,2027-04-01,ACTIVE
6844,Premium Hebdomadaire,19.46,2024-12-02,2024-12-10,ACTIVE
2166,Etudiant Mensuel,28.66,2025-03-13,2025-04-15,EXPIRE
1863,Basique Mensuel,45.52,2025-06-03,2025-07-07,ACTIVE
7851,Pro Annuel,703.59,2023-05-16,2024-05-12,ACTIVE
9124,Basique Hebdomadaire,13.02,2025-12-11,2025-12-17,ACTIVE
2341,Etudiant Mensuel,29.25,2024-03-22,2024-04-22,EXPIRE
5528,Premium Hebdomadaire,20.01,2024-04-26,2024-05-03,ACTIVE
6744,Etudiant Mensuel,23.62,2024-01-23,2024-02-24,SUSPENDU
4004,Basique Hebdomadaire,13.84,2023-02-23,2023-03-02,EXPIRE
1124,Family Mensuel,81.13,2025-07-23,2025-08-23,SUSPENDU
8710,Basique Mensuel,38.52,2024-09-04,2024-10-07,ACTIVE
4050,Family Mensuel,80.7,2026-02-12,2026-03-14,ACTIVE
7641,Basique Hebdomadaire,10.0,2025-01-15,2025-01-24,ACTIVE
766,Basique Hebdomadaire,11.72,2026-10-23,2026-10-30,ACTIVE
2345,Family Mensuel,79.31,2024-07-03,2024-08-01,ACTIVE
4072,Basique Hebdomadaire,12.72,2023-02-25,2023-03-06,ACTIVE
7217,Basique Mensuel,38.93,2023-08-22,2023-09-22,EXPIRE
4217,Premium Hebdomadaire,24.33,2026-05-16,2026-05-25,EXPIRE
7953,Premium Mensuel,72.0,2024-12-27,2025-01-29,ACTIVE
5971,Basique Mensuel,43.35,2025-06-26,2025-07-27,ACTIVE
3351,Premium Hebdomadaire,17.86,2026-09-16,2026-09-22,ACTIVE
4696,Basique Mensuel,37.23,2026-09-20,2026-10-22,SUSPENDU
3400,Etudiant Mensuel,29.76,2023-02-26,2023-04-01,EXPIRE
4082,Premium Hebdomadaire,19.73,2023-05-25,2023-06-02,EXPIRE
9150,Family Mensuel,80.74,2023-08-05,2023-09-03,ACTIVE
1225,Pro Annuel,709.66,2024-04-11,2025-04-17,ACTIVE
6293,Family Mensuel,80.9,2025-05-10,2025-06-07,ACTIVE
3123,Pro Annuel,700.87,2023-12-25,2024-12-27,EXPIRE
511,Basique Mensuel,40.48,2024-08-04,2024-09-03,EXPIRE
5795,Basique Mensuel,39.48,2026-05-17,2026-06-18,ACTIVE
8182,Pro Annuel,710.52,2025-08-26,2026-09-03,SUSPENDU
9418,Premium Hebdomadaire,19.48,2023-01-26,2023-02-02,EXPIRE
97,Family Mensuel,83.02,2024-11-09,2024-12-13,ACTIVE
6682,Premium Hebdomadaire,21.47,2025-08-11,2025-08-19,ACTIVE
1513,Basique Hebdomadaire,12.7,2024-03-17,2024-03-26,EXPIRE
8792,Premium Hebdomadaire,19.03,2025-09-15,2025-09-23,ACTIVE
120,Basique Hebdomadaire,15.34,2026-02-14,2026-02-22,ACTIVE
7792,Pro Annuel,666.56,2024-09-01,2025-09-07,ACTIVE
6518,Family Mensuel,82.75,2025-04-15,2025-05-18,ACTIVE
34,Pro Annuel,708.09,2025-08-17,2026-08-24,ACTIVE
7888,Premium Mensuel,67.01,2026-08-11,2026-09-09,ACTIVE
6831,Basique Hebdomadaire,14.01,2026-09-01,2026-09-10,SUSPENDU
5422,Premium Mensuel,67.85,2023-02-26,2023-03-27,EXPIRE
1069,Pro Annuel,699.15,2023-08-24,2024-08-25,EXPIRE
1348,Etudiant Mensuel,29.67,2023-10-11,2023-11-10,EXPIRE
4748,Family Mensuel,78.03,2025-12-21,2026-01-22,SUSPENDU
6006,Basique Mensuel,44.0,2024-08-03,2024-09-06,SUSPENDU
6040,Pro Annuel,711.46,2023-11-12,2024-11-18,EXPIRE
3818,Basique Hebdomadaire,13.77,2025-04-19,2025-04-27,SUSPENDU
8447,Pro Annuel,701.19,2026-02-28,2027-02-24,EXPIRE
5270,Basique Hebdomadaire,14.29,2025-12-03,2025-12-09,EXPIRE
6898,Pro Annuel,707.96,2026-08-15,2027-08-24,SUSPENDU
5310,Basique Mensuel,35.83,2025-01-21,2025-02-21,EXPIRE
32,Premium Hebdomadaire,23.12,2025-09-28,2025-10-07,SUSPENDU
5675,Family Mensuel,77.62,2025-10-14,2025-11-15,SUSPENDU
4387,Basique Mensuel,38.75,2025-08-24,2025-09-23,ACTIVE
30,Premium Mensuel,69.46,2023-12-16,2024-01-12,SUSPENDU
4203,Etudiant Mensuel,26.22,2023-02-03,2023-03-05,EXPIRE
7508,Premium Hebdomadaire,18.39,2024-09-28,2024-10-06,ACTIVE
736,Basique Hebdomadaire,15.36,2025-07-23,2025-08-01,EXPIRE
2068,Etudiant Mensuel,27.75,2024-05-22,2024-06-22,SUSPENDU
107,Basique Hebdomadaire,17.39,2023-02-21,2023-03-02,EXPIRE
9645,Premium Hebdomadaire,19.6,2024-12-24,2024-12-31,SUSPENDU
8895,Basique Hebdomadaire,10.97,2025-02-01,2025-02-08,ACTIVE
8021,Premium Mensuel,65.7,2024-02-15,2024-03-14,ACTIVE
2233,Etudiant Mensuel,26.94,2024-11-12,2024-12-15,ACTIVE
994,Basique Mensuel,40.36,2025-07-14,2025-08-10,SUSPENDU
9413,Pro Annuel,711.0,2024-03-09,2025-03-17,ACTIVE
7059,Premium Hebdomadaire,24.51,2026-05-11,2026-05-19,SUSPENDU
6790,Basique Mensuel,38.83,2023-09-24,2023-10-25,EXPIRE
361,Etudiant Mensuel,30.04,2024-06-18,2024-07-18,ACTIVE
305,Etudiant Mensuel,31.57,2023-07-28,2023-08-30,EXPIRE
2628,Basique Hebdomadaire,15.25,2023-08-01,2023-08-10,EXPIRE
8966,Family Mensuel,82.91,2024-07-21,2024-08-23,SUSPENDU
4514,Premium Hebdomadaire,19.11,2026-07-25,2026-08-01,EXPIRE
5911,Basique Hebdomadaire,13.9,2026-12-18,2026-12-25,ACTIVE
8314,Basique Hebdomadaire,11.46,2024-12-03,2024-12-10,EXPIRE
3101,Premium Mensuel,68.72,2023-11-09,2023-12-08,EXPIRE
5704,Basique Mensuel,41.4,2025-02-20,2025-03-25,ACTIVE
3899,Premium Mensuel,70.76,2025-02-07,2025-03-08,EXPIRE
5441,Basique Mensuel,41.41,2025-10-11,2025-11-15,ACTIVE
7931,Etudiant Mensuel,31.58,2023-05-23,2023-06-26,ACTIVE
622,Pro Annuel,700.84,2025-10-01,2026-10-05,SUSPENDU
7236,Family Mensuel,84.81,2026-10-14,2026-11-17,ACTIVE
2499,Premium Hebdomadaire,22.21,2024-07-19,2024-07-25,ACTIVE
714,Etudiant Mensuel,29.83,2025-07-22,2025-08-19,ACTIVE
8404,Premium Mensuel,72.48,2023-07-23,2023-08-24,ACTIVE
2856,Premium Hebdomadaire,17.87,2023-01-06,2023-01-12,EXPIRE
4270,Family Mensuel,81.66,2025-03-28,2025-04-25,ACTIVE
2909,Pro Annuel,699.18,2026-03-26,2027-03-31,ACTIVE
8081,Basique Hebdomadaire,11.73,2024-04-09,2024-04-16,ACTIVE
4517,Etudiant Mensuel,27.24,2023-03-13,2023-04-13,EXPIRE
1262,Basique Mensuel,42.63,2024-10-24,2024-11-26,ACTIVE
3161,Pro Annuel,698.9,2023-05-08,2024-05-06,SUSPENDU
971,Etudiant Mensuel,30.72,2026-11-16,2026-12-20,ACTIVE
3913,Premium Mensuel,71.81,2025-12-03,2025-12-29,ACTIVE
5199,Basique Hebdomadaire,11.47,2026-08-03,2026-08-10,ACTIVE
8847,Basique Hebdomadaire,12.37,2025-10-22,2025-10-29,EXPIRE
260,Premium Hebdomadaire,22.18,2025-06-24,2025-07-01,ACTIVE
3791,Premium Mensuel,76.34,2026-06-23,2026-07-28,SUSPENDU
9203,Basique Mensuel,39.11,2023-03-10,2023-04-10,SUSPENDU
488,Basique Hebdomadaire,11.04,2025-02-19,2025-02-26,ACTIVE
7908,Pro Annuel,699.49,2026-08-22,2027-08-19,ACTIVE
519,Premium Hebdomadaire,20.17,2025-08-20,2025-08-26,SUSPENDU
8343,Family Mensuel,87.14,2024-08-12,2024-09-16,EXPIRE
312,Etudiant Mensuel,28.29,2026-09-16,2026-10-16,ACTIVE
3232,Premium Mensuel,66.34,2026-03-24,2026-04-25,EXPIRE
7933,Premium Mensuel,67.98,2025-01-22,2025-02-26,ACTIVE
7458,Basique Hebdomadaire,14.88,2025-07-16,2025-07-22,ACTIVE
9784,Basique Mensuel,38.17,2025-09-28,2025-10-28,ACTIVE
5184,Premium Mensuel,68.95,2024-09-22,2024-10-26,ACTIVE
8077,Etudiant Mensuel,30.34,2023-11-16,2023-12-20,EXPIRE
6502,Family Mensuel,83.51,2025-06-22,2025-07-25,ACTIVE
6791,Premium Hebdomadaire,20.83,2024-11-07,2024-11-16,ACTIVE
7773,Etudiant Mensuel,29.97,2023-12-16,2024-01-19,ACTIVE
2738,Premium Mensuel,70.61,2026-08-05,2026-09-04,ACTIVE
7842,Basique Mensuel,39.18,2025-08-14,2025-09-10,ACTIVE
6262,Basique Mensuel,41.38,2024-11-23,2024-12-25,ACTIVE
8206,Basique Hebdomadaire,12.41,2023-09-26,2023-10-04,EXPIRE
1248,Pro Annuel,708.6,2023-05-14,2024-05-23,SUSPENDU
9336,Family Mensuel,82.15,2024-11-22,2024-12-25,SUSPENDU
4195,Basique Hebdomadaire,10.21,2023-07-13,2023-07-21,ACTIVE
8001,Family Mensuel,75.13,2026-09-26,2026-10-24,ACTIVE
7378,Basique Mensuel,43.59,2023-12-05,2024-01-08,ACTIVE
3435,Etudiant Mensuel,34.58,2023-04-12,2023-05-17,EXPIRE
5382,Premium Hebdomadaire,18.87,2024-05-06,2024-05-12,EXPIRE
959,Etudiant Mensuel,29.02,2025-08-24,2025-09-22,ACTIVE
417,Basique Hebdomadaire,16.3,2026-07-13,2026-07-19,EXPIRE
5742,Premium Mensuel,68.2,2023-03-09,2023-04-04,EXPIRE
6728,Family Mensuel,82.09,2023-02-09,2023-03-16,EXPIRE
4382,Basique Hebdomadaire,14.31,2023-03-12,2023-03-20,ACTIVE
5197,Basique Mensuel,41.84,2026-10-16,2026-11-13,ACTIVE
1113,Basique Hebdomadaire,15.08,2023-06-18,2023-06-24,ACTIVE
2689,Basique Hebdomadaire,14.87,2026-06-23,2026-06-30,ACTIVE
6473,Basique Mensuel,40.22,2023-02-17,2023-03-19,SUSPENDU
8820,Basique Hebdomadaire,14.47,2025-08-12,2025-08-20,ACTIVE
7808,Premium Mensuel,75.89,2025-07-13,2025-08-11,SUSPENDU
3411,Pro Annuel,708.78,2025-08-14,2026-08-20,ACTIVE
81,Family Mensuel,82.79,2024-06-14,2024-07-11,SUSPENDU
4614,Premium Hebdomadaire,19.87,2025-07-04,2025-07-11,ACTIVE
1374,Premium Mensuel,67.09,2023-12-22,2024-01-17,ACTIVE
1510,Basique Mensuel,45.15,2025-04-06,2025-05-09,ACTIVE
6443,Premium Mensuel,70.3,2023-07-03,2023-08-02,SUSPENDU
3071,Premium Hebdomadaire,18.71,2024-08-16,2024-08-24,ACTIVE
3016,Etudiant Mensuel,30.68,2024-09-22,2024-10-26,ACTIVE
4823,Basique Mensuel,38.47,2023-11-04,2023-12-02,ACTIVE
7822,Premium Hebdomadaire,21.53,2026-05-14,2026-05-20,ACTIVE
93,Pro Annuel,656.73,2026-01-18,2027-01-18,SUSPENDU
9421,Basique Mensuel,38.12,2025-09-06,2025-10-04,SUSPENDU
6600,Basique Mensuel,40.72,2025-09-27,2025-10-27,ACTIVE
4443,Premium Hebdomadaire,21.78,2026-07-13,2026-07-20,ACTIVE
7602,Premium Mensuel,64.87,2026-01-05,2026-02-06,ACTIVE
3835,Basique Mensuel,39.84,2025-07-13,2025-08-11,ACTIVE
9702,Basique Hebdomadaire,14.01,2025-01-22,2025-01-31,ACTIVE
4322,Basique Mensuel,39.8,2024-12-13,2025-01-10,SUSPENDU
3394,Premium Mensuel,65.65,2023-01-20,2023-02-20,SUSPENDU
4752,Premium Hebdomadaire,20.33,2025-06-03,2025-06-10,EXPIRE
7229,Pro Annuel,700.28,2024-03-01,2025-03-05,ACTIVE
9191,Premium Mensuel,68.3,2026-04-08,2026-05-10,ACTIVE
2361,Premium Mensuel,70.94,2025-07-09,2025-08-05,ACTIVE
1148,Premium Mensuel,69.9,2025-05-05,2025-06-09,ACTIVE
5666,Pro Annuel,697.4,2024-03-12,2025-03-13,ACTIVE
8075,Pro Annuel,696.26,2023-04-21,2024-04-22,ACTIVE
4943,Premium Hebdomadaire,20.14,2025-04-05,2025-04-12,ACTIVE
3663,Premium Hebdomadaire,20.66,2023-08-04,2023-08-10,ACTIVE
1563,Premium Hebdomadaire,16.63,2024-03-11,2024-03-19,ACTIVE
4113,Basique Hebdomadaire,15.8,2026-03-13,2026-03-19,ACTIVE
9050,Etudiant Mensuel,29.6,2026-03-17,2026-04-12,SUSPENDU
9276,Basique Mensuel,36.63,2023-02-02,2023-03-05,EXPIRE
8538,Etudiant Mensuel,33.55,2023-08-23,2023-09-26,EXPIRE
795,Premium Mensuel,66.34,2025-09-26,2025-10-30,ACTIVE
5854,Pro Annuel,656.23,2026-09-04,2027-08-31,ACTIVE
7619,Premium Hebdomadaire,17.63,2026-02-25,2026-03-03,EXPIRE
1594,Premium Mensuel,74.42,2024-07-21,2024-08-17,ACTIVE
7418,Family Mensuel,80.85,2026-11-23,2026-12-28,ACTIVE
5267,Premium Hebdomadaire,21.76,2025-09-28,2025-10-06,ACTIVE
7147,Etudiant Mensuel,29.05,2025-11-05,2025-12-02,ACTIVE
89,Premium Hebdomadaire,19.04,2024-03-01,2024-03-07,ACTIVE
8695,Basique Mensuel,39.93,2024-02-28,2024-03-29,ACTIVE
9732,Premium Mensuel,72.07,2025-05-10,2025-06-05,ACTIVE
9446,Premium Mensuel,65.16,2024-01-07,2024-02-10,ACTIVE
6754,Pro Annuel,700.65,2025-02-15,2026-02-15,ACTIVE
3502,Premium Mensuel,68.86,2024-05-23,2024-06-19,ACTIVE
2234,Premium Hebdomadaire,22.6,2025-04-10,2025-04-19,ACTIVE
2803,Basique Hebdomadaire,12.84,2024-01-04,2024-01-10,EXPIRE
4424,Etudiant Mensuel,29.69,2026-08-01,2026-09-02,ACTIVE
5663,Basique Hebdomadaire,13.0,2023-11-01,2023-11-07,EXPIRE
7170,Pro Annuel,710.06,2025-12-27,2027-01-02,SUSPENDU
8337,Premium Mensuel,68.24,2024-11-10,2024-12-07,EXPIRE
2148,Etudiant Mensuel,29.0,2024-05-05,2024-06-09,ACTIVE
7969,Premium Hebdomadaire,20.06,2024-07-16,2024-07-23,ACTIVE
6551,Basique Mensuel,37.56,2023-01-27,2023-02-28,EXPIRE
7643,Basique Mensuel,39.19,2024-08-07,2024-09-06,ACTIVE
6164,Premium Mensuel,67.23,2024-05-26,2024-06-25,ACTIVE
1495,Etudiant Mensuel,30.77,2023-08-11,2023-09-09,ACTIVE
7696,Pro Annuel,712.61,2026-02-20,2027-03-02,ACTIVE
7094,Premium Mensuel,74.93,2026-06-14,2026-07-16,ACTIVE
1409,Premium Hebdomadaire,20.41,2026-05-24,2026-06-01,SUSPENDU
6691,Basique Mensuel,40.84,2025-02-28,2025-04-01,ACTIVE
3401,Premium Hebdomadaire,21.87,2023-12-26,2024-01-04,EXPIRE
109,Basique Hebdomadaire,14.97,2025-06-25,2025-07-04,ACTIVE
5636,Premium Hebdomadaire,21.06,2026-01-16,2026-01-24,ACTIVE
8482,Premium Mensuel,72.73,2023-06-09,2023-07-09,ACTIVE
6604,Premium Hebdomadaire,20.55,2025-01-06,2025-01-15,ACTIVE
1091,Family Mensuel,75.06,2026-09-05,2026-10-04,ACTIVE
5560,Basique Mensuel,42.98,2024-07-26,2024-08-21,ACTIVE
9412,Premium Mensuel,70.86,2024-03-10,2024-04-12,ACTIVE
8143,Etudiant Mensuel,25.39,2023-12-14,2024-01-10,SUSPENDU
8664,Pro Annuel,740.98,2025-06-02,2026-06-12,ACTIVE
6596,Premium Hebdomadaire,22.38,2025-05-23,2025-05-29,ACTIVE
624,Premium Hebdomadaire,21.21,2026-01-03,2026-01-09,ACTIVE
6871,Basique Hebdomadaire,13.73,2025-02-28,2025-03-06,EXPIRE
4814,Pro Annuel,656.54,2024-01-04,2025-01-04,ACTIVE
6553,Pro Annuel,700.71,2025-08-17,2026-08-18,ACTIVE
7530,Basique Mensuel,33.9,2023-09-12,2023-10-12,EXPIRE
5796,Basique Mensuel,42.3,2026-11-21,2026-12-26,EXPIRE
7437,Basique Hebdomadaire,12.12,2026-07-09,2026-07-15,ACTIVE
4218,Etudiant Mensuel,27.12,2024-08-11,2024-09-09,ACTIVE
5941,Premium Hebdomadaire,18.61,2025-08-27,2025-09-04,SUSPENDU
8501,Family Mensuel,87.7,2026-06-13,2026-07-10,ACTIVE
6429,Basique Hebdomadaire,15.43,2024-12-10,2024-12-17,ACTIVE
6827,Premium Hebdomadaire,18.3,2024-08-28,2024-09-06,EXPIRE
4131,Etudiant Mensuel,28.67,2026-06-09,2026-07-11,ACTIVE
7802,Pro Annuel,698.77,2024-11-20,2025-11-22,EXPIRE
7754,Basique Mensuel,40.28,2025-07-02,2025-07-31,EXPIRE
4722,Basique Hebdomadaire,14.92,2026-12-09,2026-12-18,ACTIVE
1651,Basique Hebdomadaire,13.25,2023-01-09,2023-01-15,ACTIVE
4141,Basique Hebdomadaire,14.1,2026-12-23,2026-12-29,ACTIVE
1618,Premium Mensuel,68.64,2025-05-27,2025-06-27,EXPIRE
2030,Family Mensuel,79.11,2026-11-15,2026-12-12,ACTIVE
8518,Basique Mensuel,39.91,2024-09-09,2024-10-05,SUSPENDU
4576,Family Mensuel,74.79,2023-09-09,2023-10-08,ACTIVE
3993,Premium Hebdomadaire,17.43,2024-10-22,2024-10-30,ACTIVE
7377,Etudiant Mensuel,29.95,2024-07-16,2024-08-13,EXPIRE
6150,Basique Hebdomadaire,14.45,2023-04-07,2023-04-16,ACTIVE
4909,Basique Mensuel,42.07,2025-06-15,2025-07-15,EXPIRE
5027,Pro Annuel,736.13,2023-06-24,2024-07-01,ACTIVE
8261,Family Mensuel,82.26,2026-06-06,2026-07-06,ACTIVE
4732,Premium Hebdomadaire,18.7,2024-01-26,2024-02-02,ACTIVE
7549,Pro Annuel,729.32,2023-07-26,2024-07-25,EXPIRE
8135,Pro Annuel,665.24,2023-09-01,2024-09-10,ACTIVE
1607,Premium Hebdomadaire,21.21,2026-04-10,2026-04-19,SUSPENDU
4774,Pro Annuel,700.02,2025-12-01,2026-12-04,SUSPENDU
8110,Family Mensuel,80.74,2023-10-12,2023-11-12,ACTIVE
6952,Premium Hebdomadaire,23.1,2025-05-26,2025-06-03,EXPIRE
6005,Family Mensuel,82.1,2026-05-04,2026-06-06,ACTIVE
7729,Basique Mensuel,40.66,2023-10-06,2023-11-01,EXPIRE
3542,Family Mensuel,82.6,2024-10-07,2024-11-04,ACTIVE
389,Basique Hebdomadaire,15.7,2026-11-07,2026-11-15,ACTIVE
1795,Premium Mensuel,73.17,2024-06-25,2024-07-27,ACTIVE
8732,Basique Hebdomadaire,13.75,2023-05-08,2023-05-17,ACTIVE
4920,Family Mensuel,85.52,2023-07-08,2023-08-05,ACTIVE
5538,Pro Annuel,657.35,2026-09-10,2027-09-06,ACTIVE
3873,Pro Annuel,708.01,2023-11-03,2024-11-09,ACTIVE
8869,Pro Annuel,700.07,2024-10-21,2025-10-19,SUSPENDU
2255,Premium Mensuel,63.54,2023-09-24,2023-10-26,EXPIRE
3413,Pro Annuel,703.57,2024-10-13,2025-10-11,EXPIRE
5460,Etudiant Mensuel,31.24,2026-07-24,2026-08-26,ACTIVE
4956,Premium Hebdomadaire,17.49,2026-08-28,2026-09-04,SUSPENDU
7397,Pro Annuel,702.49,2026-10-15,2027-10-17,ACTIVE
5415,Etudiant Mensuel,26.71,2023-05-28,2023-06-24,ACTIVE
7400,Premium Hebdomadaire,24.25,2023-06-06,2023-06-15,ACTIVE
7415,Basique Mensuel,44.11,2024-11-24,2024-12-23,EXPIRE
